Probeset	Label	NCBIGeneID	GeneSymbol
ENSG00000241860	RP11-34P13.13		RP11-34P13.13
ENSG00000237094	RP4-669L17.10		RP4-669L17.10
ENSG00000225972	MTND1P23	100887749	MTND1P23
ENSG00000225630	MTND2P28	100652939	MTND2P28
ENSG00000276171	AC114498.1		AC114498.1
ENSG00000237973	MTCO1P12		MTCO1P12
ENSG00000229344	MTCO2P12		MTCO2P12
ENSG00000240409	MTATP8P1		MTATP8P1
ENSG00000248527	MTATP6P1		MTATP6P1
ENSG00000198744	MTCO3P12		MTCO3P12
ENSG00000237491	RP11-206L10.9		RP11-206L10.9
ENSG00000228794	LINC01128	643837	LINC01128
ENSG00000225880	LINC00115	79854	LINC00115
ENSG00000188976	NOC2L	26155	NOC2L
ENSG00000188157	AGRN	375790	AGRN
ENSG00000217801	RP11-465B22.3		RP11-465B22.3
ENSG00000162571	TTLL10	254173	TTLL10
ENSG00000078808	SDF4	51150	SDF4
ENSG00000160087	UBE2J2	118424	UBE2J2
ENSG00000127054	CPSF3L	54973	CPSF3L
ENSG00000240731	RP5-890O3.9		RP5-890O3.9
ENSG00000162576	MXRA8	54587	MXRA8
ENSG00000175756	AURKAIP1	54998	AURKAIP1
ENSG00000221978	CCNL2	81669	CCNL2
ENSG00000224870	RP4-758J18.2		RP4-758J18.2
ENSG00000242485	MRPL20	55052	MRPL20
ENSG00000272455	RP4-758J18.13		RP4-758J18.13
ENSG00000215915	ATAD3C	219293	ATAD3C
ENSG00000160072	ATAD3B	83858	ATAD3B
ENSG00000160075	SSU72	29101	SSU72
ENSG00000279244	AL645728.1		AL645728.1
ENSG00000280747	Metazoa_SRP		Metazoa_SRP
ENSG00000248333	CDK11B	984	CDK11B
ENSG00000189339	SLC35E2B	728661	SLC35E2B
ENSG00000269737	RP11-345P4.7		RP11-345P4.7
ENSG00000008128	CDK11A	728642	CDK11A
ENSG00000268575	RP1-283E3.8		RP1-283E3.8
ENSG00000227775	RP1-283E3.4		RP1-283E3.4
ENSG00000215790	SLC35E2	9906	SLC35E2
ENSG00000008130	NADK	65220	NADK
ENSG00000078369	GNB1	2782	GNB1
ENSG00000142609	CFAP74	85452	CFAP74
ENSG00000067606	PRKCZ	5590	PRKCZ
ENSG00000271806	RP5-892K4.1		RP5-892K4.1
ENSG00000162585	FAAP20		FAAP20
ENSG00000157933	SKI	6497	SKI
ENSG00000116151	MORN1	79906	MORN1
ENSG00000157916	RER1	11079	RER1
ENSG00000157881	PANK4	55229	PANK4
ENSG00000238164	RP3-395M20.8		RP3-395M20.8
ENSG00000157873	TNFRSF14	8764	TNFRSF14
ENSG00000157870	FAM213B	127281	FAM213B
ENSG00000158109	TPRG1L	127262	TPRG1L
ENSG00000227372	TP73-AS1	57212	TP73-AS1
ENSG00000130764	LRRC47	57470	LRRC47
ENSG00000116198	CEP104	9731	CEP104
ENSG00000169598	DFFB	1677	DFFB
ENSG00000198912	C1orf174	339448	C1orf174
ENSG00000116251	RPL22	6146	RPL22
ENSG00000158286	RNF207	388591	RNF207
ENSG00000116237	ICMT	23463	ICMT
ENSG00000069812	HES2	54626	HES2
ENSG00000187017	ESPN	83715	ESPN
ENSG00000215788	TNFRSF25	8718	TNFRSF25
ENSG00000162408	NOL9	79707	NOL9
ENSG00000204859	ZBTB48	3104	ZBTB48
ENSG00000162413	KLHL21	9903	KLHL21
ENSG00000007923	DNAJC11	55735	DNAJC11
ENSG00000228750	RP11-242F24.1		RP11-242F24.1
ENSG00000171735	CAMTA1	23261	CAMTA1
ENSG00000049245	VAMP3	9341	VAMP3
ENSG00000049246	PER3	8863	PER3
ENSG00000116288	PARK7	11315	PARK7
ENSG00000116285	ERRFI1	54206	ERRFI1
ENSG00000142599	RERE	473	RERE
ENSG00000074800	ENO1	2023	ENO1
ENSG00000280816	Metazoa_SRP		Metazoa_SRP
ENSG00000236269	ENO1-IT1		ENO1-IT1
ENSG00000238249	HMGN2P17	100113373	HMGN2P17
ENSG00000142583	SLC2A5	6518	SLC2A5
ENSG00000180758	GPR157	80045	GPR157
ENSG00000049239	H6PD	9563	H6PD
ENSG00000171621	SPSB1	80176	SPSB1
ENSG00000171608	PIK3CD	5293	PIK3CD
ENSG00000171603	CLSTN1	22883	CLSTN1
ENSG00000178585	CTNNBIP1	56998	CTNNBIP1
ENSG00000162441	LZIC	84328	LZIC
ENSG00000173614	NMNAT1	64802	NMNAT1
ENSG00000202415	RN7SKP269		RN7SKP269
ENSG00000130939	UBE4B	10277	UBE4B
ENSG00000054523	KIF1B	23095	KIF1B
ENSG00000142657	PGD	5226	PGD
ENSG00000160049	DFFA	1676	DFFA
ENSG00000142655	PEX14	5195	PEX14
ENSG00000130940	CASZ1	54897	CASZ1
ENSG00000120948	TARDBP	23435	TARDBP
ENSG00000009724	MASP2	10747	MASP2
ENSG00000271895	RP4-635E18.8		RP4-635E18.8
ENSG00000116649	SRM	6723	SRM
ENSG00000171824	EXOSC10	5394	EXOSC10
ENSG00000198793	MTOR	2475	MTOR
ENSG00000120942	UBIAD1	29914	UBIAD1
ENSG00000132879	FBXO44	93611	FBXO44
ENSG00000177000	MTHFR	4524	MTHFR
ENSG00000011021	CLCN6	1185	CLCN6
ENSG00000116685	KIAA2013	90231	KIAA2013
ENSG00000083444	PLOD1	5351	PLOD1
ENSG00000116688	MFN2	9927	MFN2
ENSG00000116691	MIIP	60672	MIIP
ENSG00000281342	Metazoa_SRP		Metazoa_SRP
ENSG00000028137	TNFRSF1B	7133	TNFRSF1B
ENSG00000048707	VPS13D	55187	VPS13D
ENSG00000162496	DHRS3	9249	DHRS3
ENSG00000162493	PDPN	10630	PDPN
ENSG00000116731	PRDM2	7799	PRDM2
ENSG00000189337	KAZN	23254	KAZN
ENSG00000175147	TMEM51-AS1	200197	TMEM51-AS1
ENSG00000171729	TMEM51	55092	TMEM51
ENSG00000142634	EFHD2	79180	EFHD2
ENSG00000142615	CELA2A	63036	CELA2A
ENSG00000116138	DNAJC16	23341	DNAJC16
ENSG00000116771	AGMAT	79814	AGMAT
ENSG00000197312	DDI2	84301	DDI2
ENSG00000116786	PLEKHM2	23207	PLEKHM2
ENSG00000237938	RP11-288I21.1		RP11-288I21.1
ENSG00000162461	SLC25A34	284723	SLC25A34
ENSG00000162458	FBLIM1	54751	FBLIM1
ENSG00000280788	Metazoa_SRP		Metazoa_SRP
ENSG00000065526	SPEN	23013	SPEN
ENSG00000173641	HSPB7	27129	HSPB7
ENSG00000142627	EPHA2	1969	EPHA2
ENSG00000037637	FBXO42	54455	FBXO42
ENSG00000055070	SZRD1	26099	SZRD1
ENSG00000187144	SPATA21	374955	SPATA21
ENSG00000157191	NECAP2	55707	NECAP2
ENSG00000226029	RP4-798A10.2		RP4-798A10.2
ENSG00000080947	CROCCP3	114819	CROCCP3
ENSG00000206652	RNU1-1	26871	RNU1-1
ENSG00000219481	NBPF1	55672	NBPF1
ENSG00000280114	RP5-875O13.7		RP5-875O13.7
ENSG00000058453	CROCC	9696	CROCC
ENSG00000159363	ATP13A2	23400	ATP13A2
ENSG00000117118	SDHB	6390	SDHB
ENSG00000117115	PADI2	11240	PADI2
ENSG00000159339	PADI4	23569	PADI4
ENSG00000280226	AC004824.2		AC004824.2
ENSG00000227751	RP1-20B21.4		RP1-20B21.4
ENSG00000179051	RCC2	55920	RCC2
ENSG00000074964	ARHGEF10L	55160	ARHGEF10L
ENSG00000169991	IFFO2	126917	IFFO2
ENSG00000127481	UBR4	23352	UBR4
ENSG00000127463	EMC1	23065	EMC1
ENSG00000053372	MRTO4	51154	MRTO4
ENSG00000211454	AKR7L	246181	AKR7L
ENSG00000053371	AKR7A2	8574	AKR7A2
ENSG00000040487	PQLC2	54896	PQLC2
ENSG00000077549	CAPZB	832	CAPZB
ENSG00000240490	RN7SL277P		RN7SL277P
ENSG00000173436	MINOS1	440574	MINOS1
ENSG00000158747	NBL1	4681	NBL1
ENSG00000169914	OTUD3	23252	OTUD3
ENSG00000188257	PLA2G2A	5320	PLA2G2A
ENSG00000236963	LINC01141	339505	LINC01141
ENSG00000162545	CAMK2N1	55450	CAMK2N1
ENSG00000158828	PINK1	65018	PINK1
ENSG00000117242	PINK1-AS	100861548	PINK1-AS
ENSG00000244038	DDOST	1650	DDOST
ENSG00000127483	HP1BP3	50809	HP1BP3
ENSG00000075151	EIF4G3	8672	EIF4G3
ENSG00000117298	ECE1	1889	ECE1
ENSG00000142794	NBPF3	84224	NBPF3
ENSG00000076864	RAP1GAP	5909	RAP1GAP
ENSG00000090686	USP48	84196	USP48
ENSG00000142798	HSPG2	3339	HSPG2
ENSG00000218510	LINC00339	29092	LINC00339
ENSG00000070831	CDC42	998	CDC42
ENSG00000230068	CDC42-IT1	100874292	CDC42-IT1
ENSG00000271428	RP1-224A6.8		RP1-224A6.8
ENSG00000162552	WNT4	54361	WNT4
ENSG00000184677	ZBTB40	9923	ZBTB40
ENSG00000173372	C1QA	712	C1QA
ENSG00000159189	C1QC	714	C1QC
ENSG00000173369	C1QB	713	C1QB
ENSG00000133216	EPHB2	2048	EPHB2
ENSG00000004487	KDM1A	23028	KDM1A
ENSG00000169641	LUZP1	7798	LUZP1
ENSG00000261326	LINC01355	100996511	LINC01355
ENSG00000125944	HNRNPR	10236	HNRNPR
ENSG00000125945	ZNF436	80818	ZNF436
ENSG00000204219	TCEA3	6920	TCEA3
ENSG00000088280	ASAP3	55616	ASAP3
ENSG00000280791	Metazoa_SRP		Metazoa_SRP
ENSG00000117318	ID3	3399	ID3
ENSG00000142676	RPL11	6135	RPL11
ENSG00000011007	TCEB3	6924	TCEB3
ENSG00000236810	TCEB3-AS1	100506963	TCEB3-AS1
ENSG00000057757	PITHD1	57095	PITHD1
ENSG00000011009	LYPLA2	11313	LYPLA2
ENSG00000117308	GALE	2582	GALE
ENSG00000117305	HMGCL	3155	HMGCL
ENSG00000179163	FUCA1	2517	FUCA1
ENSG00000189266	PNRC2	55629	PNRC2
ENSG00000188529	SRSF10	10772	SRSF10
ENSG00000142661	MYOM3	127294	MYOM3
ENSG00000142677	IL22RA1	58985	IL22RA1
ENSG00000185436	IFNLR1	163702	IFNLR1
ENSG00000001460	STPG1	90529	STPG1
ENSG00000001461	NIPAL3	57185	NIPAL3
ENSG00000117602	RCAN3	11123	RCAN3
ENSG00000184454	NCMAP	400746	NCMAP
ENSG00000133226	SRRM1	10250	SRRM1
ENSG00000169504	CLIC4	25932	CLIC4
ENSG00000117614	SYF2	25949	SYF2
ENSG00000117616	RSRP1	57035	RSRP1
ENSG00000187010	RHD	6007	RHD
ENSG00000183726	TMEM50A	23585	TMEM50A
ENSG00000204178	TMEM57	55219	TMEM57
ENSG00000157978	LDLRAP1	26119	LDLRAP1
ENSG00000117643	MAN1C1	57134	MAN1C1
ENSG00000162430	SEPN1	57190	SEPN1
ENSG00000228172	RP1-317E23.3		RP1-317E23.3
ENSG00000117640	MTFR1L	56181	MTFR1L
ENSG00000182749	PAQR7	164091	PAQR7
ENSG00000117632	STMN1	3925	STMN1
ENSG00000158006	PAFAH2	5051	PAFAH2
ENSG00000265320	AL391650.1		AL391650.1
ENSG00000175087	PDIK1L	149420	PDIK1L
ENSG00000142675	CNKSR1	10256	CNKSR1
ENSG00000236155	RP11-231P20.2		RP11-231P20.2
ENSG00000130695	CEP85	64793	CEP85
ENSG00000142669	SH3BGRL3	83442	SH3BGRL3
ENSG00000169442	CD52	1043	CD52
ENSG00000176092	AIM1L	55057	AIM1L
ENSG00000131914	LIN28A	79727	LIN28A
ENSG00000117682	DHDDS	79947	DHDDS
ENSG00000198830	HMGN2	3151	HMGN2
ENSG00000117676	RPS6KA1	6195	RPS6KA1
ENSG00000117713	ARID1A	8289	ARID1A
ENSG00000175793	SFN	2810	SFN
ENSG00000142751	GPN2	54707	GPN2
ENSG00000090273	NUDC	10726	NUDC
ENSG00000280403	AL137860.1		AL137860.1
ENSG00000090020	SLC9A1	6548	SLC9A1
ENSG00000225159	NPM1P39	440577	NPM1P39
ENSG00000142784	WDTC1	23038	WDTC1
ENSG00000142765	SYTL1	84958	SYTL1
ENSG00000142733	MAP3K6	9064	MAP3K6
ENSG00000158195	WASF2	10163	WASF2
ENSG00000126709	IFI6	2537	IFI6
ENSG00000009780	FAM76A	199870	FAM76A
ENSG00000117758	STX12	23673	STX12
ENSG00000117751	PPP1R8	5511	PPP1R8
ENSG00000278868	AL109927.1		AL109927.1
ENSG00000130775	THEMIS2	9473	THEMIS2
ENSG00000117748	RPA2	6118	RPA2
ENSG00000158161	EYA3	2140	EYA3
ENSG00000281570	Metazoa_SRP		Metazoa_SRP
ENSG00000169403	PTAFR	5724	PTAFR
ENSG00000126698	DNAJC8	22826	DNAJC8
ENSG00000130770	ATPIF1	93974	ATPIF1
ENSG00000270605	RP5-1092A3.4		RP5-1092A3.4
ENSG00000130772	MED18	54797	MED18
ENSG00000204138	PHACTR4	65979	PHACTR4
ENSG00000180198	RCC1	1104	RCC1
ENSG00000242125	SNHG3	8420	SNHG3
ENSG00000200087	SNORA73B	26768	SNORA73B
ENSG00000180098	TRNAU1AP	54952	TRNAU1AP
ENSG00000197989	SNHG12	85028	SNHG12
ENSG00000120656	TAF12	6883	TAF12
ENSG00000270103	RNU11	26824	RNU11
ENSG00000162419	GMEB1	10691	GMEB1
ENSG00000198492	YTHDF2	51441	YTHDF2
ENSG00000159023	EPB41	2035	EPB41
ENSG00000277958	Metazoa_SRP		Metazoa_SRP
ENSG00000116350	SRSF4	6429	SRSF4
ENSG00000116353	MECR	51102	MECR
ENSG00000162511	LAPTM5	7805	LAPTM5
ENSG00000280823	Metazoa_SRP		Metazoa_SRP
ENSG00000222784	RN7SKP91		RN7SKP91
