Label	Probeset	NCBIGeneID	GeneSymbol	Chromosome	MapLocation
WASH7P	653635	653635	WASH7P	1	1p36.33
LOC100132287	100132287	100132287	LOC100132287	1	1p36.33
LOC100133331	100133331	100133331	LOC100133331	1	1p36.33
SAMD11	148398	148398	SAMD11	1	1p36.33
NOC2L	26155	26155	NOC2L	1	1p36.33
KLHL17	339451	339451	KLHL17	1	1p36.33
HES4	57801	57801	HES4	1	1p36.33
ISG15	9636	9636	ISG15	1	1p36.33
AGRN	375790	375790	AGRN	1	1p36.33
C1orf159	54991	54991	C1orf159	1	1p36.33
MIR429	554210	554210	MIR429	1	1p36.33
TNFRSF18	8784	8784	TNFRSF18	1	1p36.3
TNFRSF4	7293	7293	TNFRSF4	1	1p36
SDF4	51150	51150	SDF4	1	1p36.33
B3GALT6	126792	126792	B3GALT6	1	1p36.33
FAM132A	388581	388581	FAM132A	1	1p36.33
UBE2J2	118424	118424	UBE2J2	1	1p36.33
SCNN1D	6339	6339	SCNN1D	1	1p36.3-p36.2
ACAP3	116983	116983	ACAP3	1	None
PUSL1	126789	126789	PUSL1	1	1p36.33
CPSF3L	54973	54973	CPSF3L	1	1p36.33
CPTP	80772	80772	CPTP	1	1p36.33
DVL1	1855	1855	DVL1	1	1p36
MXRA8	54587	54587	MXRA8	1	1p36.33
AURKAIP1	54998	54998	AURKAIP1	1	1p36.33
CCNL2	81669	81669	CCNL2	1	1p36.33
LOC148413	148413	148413	LOC148413	1	1p36.33
MRPL20	55052	55052	MRPL20	1	1p36.3-p36.2
ANKRD65	441869	441869	ANKRD65	1	1p36.33
VWA1	64856	64856	VWA1	1	1p36.33
ATAD3B	83858	83858	ATAD3B	1	1p36.33
ATAD3A	55210	55210	ATAD3A	1	1p36.33
SSU72	29101	29101	SSU72	1	1p36.33
C1orf233	643988	643988	C1orf233	1	1p36.33
MIB2	142678	142678	MIB2	1	1p36.33
MMP23B	8510	8510	MMP23B	1	1p36.3
SLC35E2B	728661	728661	SLC35E2B	1	1p36.33
MMP23A	8511	8511	MMP23A	1	1p36.33
CDK11A	728642	728642	CDK11A	1	1p36.33
SLC35E2	9906	9906	SLC35E2	1	1p36.33
NADK	65220	65220	NADK	1	1p36.33
GNB1	2782	2782	GNB1	1	1p36.33
PRKCZ	5590	5590	PRKCZ	1	1p36.33-p36.2
FAAP20	199990	199990	FAAP20	1	1p36.33
SKI	6497	6497	SKI	1	1p36.33
RER1	11079	11079	RER1	1	1p36
PEX10	5192	5192	PEX10	1	1p36.32
PANK4	55229	55229	PANK4	1	1p36.32
LOC115110	115110	115110	LOC115110	1	1p36.32
TNFRSF14	8764	8764	TNFRSF14	1	1p36.32
FAM213B	127281	127281	FAM213B	1	1p36.32
ARHGEF16	27237	27237	ARHGEF16	1	1p36.3
MEGF6	1953	1953	MEGF6	1	1p36.3
TPRG1L	127262	127262	TPRG1L	1	1p36.32
WRAP73	49856	49856	WRAP73	1	1p36.3
TP73-AS1	57212	57212	TP73-AS1	1	1p36.32
LRRC47	57470	57470	LRRC47	1	1p36.32
CEP104	9731	9731	CEP104	1	1p36.32
DFFB	1677	1677	DFFB	1	1p36.3
C1orf174	339448	339448	C1orf174	1	1p36.32
KCNAB2	8514	8514	KCNAB2	1	1p36.3
RPL22	6146	6146	RPL22	1	1p36.31
RNF207	388591	388591	RNF207	1	1p36.31
ICMT	23463	23463	ICMT	1	1p36.21
GPR153	387509	387509	GPR153	1	1p36.31
ACOT7	11332	11332	ACOT7	1	1p36
HES2	54626	54626	HES2	1	1p36.31
ESPN	83715	83715	ESPN	1	1p36.31
TNFRSF25	8718	8718	TNFRSF25	1	1p36.2
PLEKHG5	57449	57449	PLEKHG5	1	1p36.31
NOL9	79707	79707	NOL9	1	1p36.31
ZBTB48	3104	3104	ZBTB48	1	1p36.3
KLHL21	9903	9903	KLHL21	1	1p36.31
PHF13	148479	148479	PHF13	1	1p36.31
THAP3	90326	90326	THAP3	1	1p36.31
DNAJC11	55735	55735	DNAJC11	1	1p36.31
CAMTA1	23261	23261	CAMTA1	1	1p36.31-p36.23
VAMP3	9341	9341	VAMP3	1	1p36.23
PER3	8863	8863	PER3	1	1p36.23
PARK7	11315	11315	PARK7	1	1p36.23
ERRFI1	54206	54206	ERRFI1	1	1p36
RERE	473	473	RERE	1	1p36.23
ENO1	2023	2023	ENO1	1	1p36.2
SLC2A5	6518	6518	SLC2A5	1	1p36.2
H6PD	9563	9563	H6PD	1	1p36
SPSB1	80176	80176	SPSB1	1	1p36.22
SLC25A33	84275	84275	SLC25A33	1	1p36.22
PIK3CD	5293	5293	PIK3CD	1	1p36.2
CLSTN1	22883	22883	CLSTN1	1	1p36.22
CTNNBIP1	56998	56998	CTNNBIP1	1	1p36.22
LZIC	84328	84328	LZIC	1	1p36.22
NMNAT1	64802	64802	NMNAT1	1	1p36.22
UBE4B	10277	10277	UBE4B	1	1p36.3
KIF1B	23095	23095	KIF1B	1	1p36.2
PGD	5226	5226	PGD	1	1p36.22
APITD1	378708	378708	APITD1	1	1p36.22
DFFA	1676	1676	DFFA	1	1p36.3-p36.2
PEX14	5195	5195	PEX14	1	1p36.22
CASZ1	54897	54897	CASZ1	1	1p36.22
TARDBP	23435	23435	TARDBP	1	1p36.22
SRM	6723	6723	SRM	1	1p36-p22
EXOSC10	5394	5394	EXOSC10	1	1p36.22
MTOR	2475	2475	MTOR	1	1p36.2
UBIAD1	29914	29914	UBIAD1	1	1p36.22
FBXO44	93611	93611	FBXO44	1	1p36.22
FBXO6	26270	26270	FBXO6	1	1p36.22
MAD2L2	10459	10459	MAD2L2	1	1p36
AGTRAP	57085	57085	AGTRAP	1	1p36.22
MTHFR	4524	4524	MTHFR	1	1p36.3
CLCN6	1185	1185	CLCN6	1	1p36
KIAA2013	90231	90231	KIAA2013	1	1p36.22
PLOD1	5351	5351	PLOD1	1	1p36.22
MFN2	9927	9927	MFN2	1	1p36.22
MIIP	60672	60672	MIIP	1	1p36.22
TNFRSF1B	7133	7133	TNFRSF1B	1	1p36.22
VPS13D	55187	55187	VPS13D	1	1p36.22
DHRS3	9249	9249	DHRS3	1	1p36.1
HNRNPCL1	343069	343069	HNRNPCL1	1	1p36.21
PDPN	10630	10630	PDPN	1	1p36.21
PRDM2	7799	7799	PRDM2	1	1p36.21
TMEM51	55092	55092	TMEM51	1	1p36.21
EFHD2	79180	79180	EFHD2	1	1p36.21
CASP9	842	842	CASP9	1	1p36.21
DNAJC16	23341	23341	DNAJC16	1	1p36.1
AGMAT	79814	79814	AGMAT	1	1p36.21
RSC1A1	6248	6248	RSC1A1	1	1p36.1
PLEKHM2	23207	23207	PLEKHM2	1	1p36.21
SLC25A34	284723	284723	SLC25A34	1	1p36.21
TMEM82	388595	388595	TMEM82	1	1p36.21
FBLIM1	54751	54751	FBLIM1	1	1p36.21
UQCRHL	440567	440567	UQCRHL	1	1p36.21
FLJ37453	729614	729614	FLJ37453	1	1p36.21
SPEN	23013	23013	SPEN	1	1p36
ZBTB17	7709	7709	ZBTB17	1	1p36.13
EPHA2	1969	1969	EPHA2	1	1p36
ARHGEF19	128272	128272	ARHGEF19	1	1p36.13
RSG1	79363	79363	RSG1	1	1p36.13
FBXO42	54455	54455	FBXO42	1	1p36.23-p36.11
SZRD1	26099	26099	SZRD1	1	1p36.13
NECAP2	55707	55707	NECAP2	1	1p36.13
NBPF1	55672	55672	NBPF1	1	1p36.13
CROCCP2	84809	84809	CROCCP2	1	1p36.13
MST1P2	11209	11209	MST1P2	1	1p36.2
CROCC	9696	9696	CROCC	1	1p36.13
MST1L	11223	11223	MST1L	1	1p36.13
MFAP2	4237	4237	MFAP2	1	1p36.1-p35
ATP13A2	23400	23400	ATP13A2	1	1p36
SDHB	6390	6390	SDHB	1	1p36.1-p35
PADI2	11240	11240	PADI2	1	1p36.13
RCC2	55920	55920	RCC2	1	1p36.13
ARHGEF10L	55160	55160	ARHGEF10L	1	1p36.13
ALDH4A1	8659	8659	ALDH4A1	1	1p36
IFFO2	126917	126917	IFFO2	1	1p36.13
UBR4	23352	23352	UBR4	1	1p36.13
EMC1	23065	23065	EMC1	1	1p36.13
MRTO4	51154	51154	MRTO4	1	1p36.13
AKR7L	246181	246181	AKR7L	1	1p36.13|1p35-p36.1
AKR7A3	22977	22977	AKR7A3	1	1p36.13
AKR7A2	8574	8574	AKR7A2	1	1p36.13
PQLC2	54896	54896	PQLC2	1	1p36.13
CAPZB	832	832	CAPZB	1	1p36.1
MINOS1	440574	440574	MINOS1	1	1p36.13
NBL1	4681	4681	NBL1	1	1p36.13
TMCO4	255104	255104	TMCO4	1	1p36.13
RNF186	54546	54546	RNF186	1	1p36.13
OTUD3	23252	23252	OTUD3	1	1p36.13
PLA2G2A	5320	5320	PLA2G2A	1	1p35
PLA2G2D	26279	26279	PLA2G2D	1	1p36.12
CAMK2N1	55450	55450	CAMK2N1	1	1p36.12
MUL1	79594	79594	MUL1	1	1p36.12
CDA	978	978	CDA	1	1p36.2-p35
PINK1	65018	65018	PINK1	1	1p36
DDOST	1650	1650	DDOST	1	1p36.1
HP1BP3	50809	50809	HP1BP3	1	1p36.12
EIF4G3	8672	8672	EIF4G3	1	1p36.12
ECE1	1889	1889	ECE1	1	1p36.1
NBPF3	84224	84224	NBPF3	1	1p36.12
ALPL	249	249	ALPL	1	1p36.12
RAP1GAP	5909	5909	RAP1GAP	1	1p36.1-p35
USP48	84196	84196	USP48	1	1p36.12
HSPG2	3339	3339	HSPG2	1	1p36.1-p34
LINC00339	29092	29092	LINC00339	1	1p36.12
CDC42	998	998	CDC42	1	1p36.1
WNT4	54361	54361	WNT4	1	1p36.23-p35.1
ZBTB40	9923	9923	ZBTB40	1	1p36
C1QA	712	712	C1QA	1	1p36.12
C1QC	714	714	C1QC	1	1p36.11
C1QB	713	713	C1QB	1	1p36.12
EPHB2	2048	2048	EPHB2	1	1p36.1-p35
KDM1A	23028	23028	KDM1A	1	1p36.12
LUZP1	7798	7798	LUZP1	1	1p36
HTR1D	3352	3352	HTR1D	1	1p36.3-p34.3
HNRNPR	10236	10236	HNRNPR	1	1p36.12
